timestamp publish_pose video_counter image_counter
1732203436.288425 1 348 347
1732203436.688197 0 348 348
1732203437.088346 1 349 348
1732203437.488388 0 349 349
1732203437.888594 1 350 349
1732203438.288392 0 350 350
1732203438.688378 1 351 350
1732203439.088195 0 351 351
1732203439.488332 1 352 351
1732203439.888324 0 352 352
1732203440.288328 1 353 352
1732203440.688331 0 353 353
1732203441.155502 1 354 353
1732203441.554799 0 354 354
1732203441.888343 1 355 354
1732203442.354993 0 355 355
1732203442.755907 1 356 355
1732203443.155093 1 357 356
1732203443.555046 0 357 357
1732203443.954769 1 358 357
1732203444.354943 0 358 358
1732203444.754983 1 359 358
1732203445.154961 0 359 359
1732203445.554939 1 360 359
1732203445.95499 0 360 360
1732203446.354758 1 361 360
1732203446.754748 1 362 361
1732203447.154917 1 363 362
1732203447.554939 1 364 363
1732203447.955174 1 365 364
1732203448.354912 1 366 365
1732203448.754712 1 367 366
1732203449.154758 1 368 367
1732203449.555086 1 369 368
1732203449.954881 1 370 369
1732203450.354901 1 371 370
1732203450.754902 1 372 371
1732203451.154924 1 373 372
1732203451.554705 1 374 373
1732203451.955168 1 375 374
1732203452.354864 1 376 375
1732203452.754859 1 377 376
1732203453.154875 1 378 377
1732203453.554892 1 379 378
1732203453.954686 1 380 379
1732203454.354684 1 381 380
1732203454.754836 1 382 381
1732203455.15487 1 383 382
1732203455.554839 1 384 383
1732203455.954838 1 385 384
1732203456.354812 1 386 385
1732203456.754676 1 387 386
1732203457.154833 1 388 387
1732203457.554847 1 389 388
1732203457.954838 1 390 389
1732203458.35482 1 391 390
1732203458.754618 1 392 391
1732203459.154589 1 393 392
1732203459.554832 1 394 393
1732203459.954791 1 395 394
1732203460.354784 1 396 395
1732203460.754812 1 397 396
1732203461.154578 1 398 397
1732203461.554586 1 399 398
1732203461.954743 0 399 399
1732203462.354747 1 400 399
1732203462.754763 0 400 400
1732203463.154738 1 401 400
1732203463.55476 1 402 401
1732203463.954558 1 403 402
1732203464.354718 1 404 403
1732203464.754715 1 405 404
1732203465.154725 0 405 405
1732203465.554783 1 406 405
1732203465.954737 0 406 406
1732203466.354526 1 407 406
1732203466.754543 0 407 407
1732203467.154691 1 408 407
1732203467.554719 1 409 408
1732203467.954714 1 410 409
1732203468.354717 0 410 410
1732203468.754512 1 411 410
1732203469.154632 0 411 411
1732203469.55466 1 412 411
1732203469.954678 0 412 412
1732203470.354669 1 413 412
1732203470.754673 0 413 413
1732203471.154477 1 414 413
1732203471.554473 1 415 414
1732203471.954743 1 416 415
1732203472.35464 1 417 416
1732203472.754642 1 418 417
1732203473.154645 0 418 418
1732203473.55469 1 419 418
1732203473.954448 1 420 419
1732203474.354648 1 421 420
1732203474.754645 1 422 421
1732203475.154615 1 423 422
1732203475.55464 1 424 423
1732203475.954621 0 424 424
1732203476.354463 1 425 424
1732203476.754438 0 425 425
